#{"t_start": 1723532745.8722658, "env_id": null}
r,l,t
396.0,198,26.417049
396.0,198,34.979731
396.0,198,43.5541
396.0,198,51.562514
396.0,198,58.41237
396.0,198,66.374654
396.0,198,72.258952
396.0,198,77.807004
396.0,198,84.000285
396.0,198,90.480822
396.0,198,156.367624
396.0,198,161.609035
396.0,198,166.756887
396.0,198,172.771109
396.0,198,180.378201
396.0,198,187.919955
396.0,198,194.963955
396.0,198,203.535783
396.0,198,211.666286
396.0,198,220.038699
396.0,198,286.354743
396.0,198,292.627216
396.0,198,298.089989
396.0,198,303.842834
396.0,198,310.119246
396.0,198,316.576519
396.0,198,323.282732
396.0,198,329.283364
396.0,198,334.571026
396.0,198,340.612499
396.0,198,347.89231
396.0,198,414.665717
396.0,198,422.140802
396.0,198,430.77692
396.0,198,439.222353
396.0,198,447.653903
396.0,198,456.02797
396.0,198,464.016828
396.0,198,472.279701
396.0,198,480.634943
396.0,198,488.983276
396.0,198,558.474618
396.0,198,566.994454
396.0,198,575.674364
396.0,198,583.962883
396.0,198,592.572381
396.0,198,601.273931
396.0,198,609.949362
396.0,198,618.242783
396.0,198,626.215907
396.0,198,634.402553
396.0,198,703.467279
396.0,198,711.567255
396.0,198,720.242968
396.0,198,728.826833
396.0,198,737.77189
396.0,198,745.389915
396.0,198,753.791013
396.0,198,762.297102
396.0,198,770.646358
396.0,198,779.192564
396.0,198,787.02332
396.0,198,851.994467
396.0,198,858.585102
